delivery_time,feedback,hourlie,name_reviewer,price,sales_num,location,favorites,time,star_review,reviews_num,FLNCR_RSPN_CMMT,review,rating_perc,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,10 Apr 2015,5,50,,"<p>A great report and  very fast response.  Will be ordering more<br>
</p>",98%,
3,,Be your SEO Consultant TODAY Chat for 60 mins + Audit + Follow On Plan (2 hrs),Rob S.,$92,5,"Newbury, United Kingdom            ",5,15 Jul 2015,5,3,,<p>Really useful in structuring and planning a strategy going forward</p>,100%,
3,,Be your SEO Consultant TODAY Chat for 60 mins + Audit + Follow On Plan (2 hrs),Peter James S.,$92,5,"London, United Kingdom            ",5,10 Jul 2015,5,3,,"<p>Great service, would recommend to anyone looking for some friendly advice and guidance relating to SEO.</p>",100%,
3,,Be your SEO Consultant TODAY Chat for 60 mins + Audit + Follow On Plan (2 hrs),Quinton W.,$92,5,"Stoke-on-Trent, United Kingdom            ",5,17 Apr 2015,5,3,,"<p>Nina is extremely knowledgeable and professional, went above and beyond. I would highly recommend Nina to anyone and everyone.</p>",100%,
5,,Research 10 most profitable SEO keywords in your niche,Peter G.,$31,,"Ho Chi Minh City, Viet Nam            ",,27 Nov 2014,5,1,,<p>Emma was great to work with. She gave my website the 'love' &amp  attention it deserves given that it is central to the success of my business. Super job!!</p>,100%,
4,,Write an SEO action plan for your site on how to optimize it and get it ranking,James L.,$15,,"Ipswich, United Kingdom            ",,12 Dec 2014,5,1,,<p>Excellent</p>,100%,
3,,Audit your web sites level of SEO and provide a step by step SEO Plan,Andrew B.,$46,,"Nottingham, United Kingdom            ",,23 Jul 2014,5,1,,<p>David delivered the PPC/SEO audis in a timely manner and provided sound guidance on what we needed to do next. All round very helpful and responsive!</p>,100%,
2,,Provide an initial SEO Audit/Checklist,Giordano B.,$77,,"City of London, United Kingdom            ",,21 Jan 2015,5,1,,"<p>Very impressed with Chris' work, very thorough and detailed. I have learnt a great deal from him deliverables.<br>
Very pleased, thank you for your great effort and for finishing a few days earlier than expected, giving me enough time to review. Look forward to working with you again in the near future.</p>",100%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,Jacob L.,$62,8,"Leeds, United Kingdom            ",25,06 Jun 2013,5,7,,"<p>Great, good job.</p>",97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,John D.,$62,8,"Cambridge, United Kingdom            ",25,01 May 2013,4,7,,"<p>Daniel started out as a great SEO contact; he produced and placed a few great guest posts and also helped towards identify indexing issues with some of our pages. However, I later discovered via forum posts that Daniel had publically taken credit for all our onsite SEO effort that I personally poured into our site over a 5 year period. <br>
<br>
As you can imagine, a little disappointed!</p>",97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,Peter W.,$62,8,"Leighton Buzzard, United Kingdom            ",25,22 Apr 2013,5,7,,"<p>Excellent turn around within an hour of proposal being accepted.<br>
Daniel managed to do what I wanted when other so called ""SEO experts"" said that it couldn't be done.  I'll definately be using Daniel again!</p>",97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,John D.,$62,8,"Cambridge, United Kingdom            ",25,16 Jan 2013,5,7,,<p>Daniel has provided a great SEO service so far. Look forward to working with him more in the future.</p>,97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,John D.,$62,8,"Cambridge, United Kingdom            ",25,13 Nov 2012,5,7,,"<p>Daniel produced a very detailed SEO report that highlighting key areas for improvement. Very pleased, thank you!</p>",97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,Leigh M.,$62,8,"Bedford, United Kingdom            ",25,01 Oct 2012,5,7,,<p>Great bit of work. I requested the work at 11am and it was completed before 5pm! Cheers Daniel.</p>,97%,
1,,Do a full SEO audit for your site and set you up a strategy for future campaigns,Louisa B.,$62,8,"Petersfield, United Kingdom            ",25,17 Aug 2012,5,7,,"<p>Daniel provided a detailed analysis of various SEO, and thorough keyword research - including in-depth competitor research - and some great tips on improving SEO. This has saved me a lot of time (and money), and I would definitely recommend Daniel's services if you need to get some comprehensive SEO analysis done.</p>",97%,
3,,Analyse  backlink quality and SEO methods,Michael L.,$46,67,"London, United Kingdom            ",49,03 Jun 2015,5,64,,<p>Pleasure working again with Norman.  Provided some good insights and advice.</p>,98%,
3,,Analyse  backlink quality and SEO methods,Nick H.,$46,67,"London, United Kingdom            ",49,22 Feb 2015,5,64,,<p>Fantastic service and insights. Definitely will use again in the near future!</p>,98%,
3,,Analyse  backlink quality and SEO methods,Nick H.,$46,67,"London, United Kingdom            ",49,17 Feb 2015,5,64,,<p>Great Job. Really great insights.</p>,98%,
3,,Analyse  backlink quality and SEO methods,Stephen M.,$46,67,"Greenford, United Kingdom            ",49,24 Sep 2014,5,64,,<p>Great Job so far!</p>,98%,
